Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random-reread,time,timestamp
iozone,/dev/md5,33,2,4096,32,4096,32,5,0:00:00.085566,2023-06-03 02:01:56.717553
iozone,/dev/md5,33,3,4096,32,4096,32,5,0:00:00.079595,2023-06-03 02:01:56.797316
iozone,/dev/md5,34,1,4096,64,4096,64,5,0:00:00.086471,2023-06-03 02:01:56.883964
iozone,/dev/md5,34,2,4096,64,4096,64,5,0:00:00.086060,2023-06-03 02:01:56.970194
iozone,/dev/md5,34,3,4096,64,4096,64,5,0:00:00.079724,2023-06-03 02:01:57.050087
iozone,/dev/md5,35,1,4096,64,4096,64,5,0:00:00.086445,2023-06-03 02:01:57.136712
iozone,/dev/md5,35,2,4096,64,4096,64,5,0:00:00.079955,2023-06-03 02:01:57.216862
iozone,/dev/md5,35,3,4096,64,4096,64,5,0:00:00.079129,2023-06-03 02:01:57.296165
iozone,/dev/md5,36,1,4096,64,4096,64,5,0:00:00.099898,2023-06-03 02:01:57.396239
iozone,/dev/md5,36,2,4096,64,4096,64,5,0:00:00.087714,2023-06-03 02:01:57.484125
iozone,/dev/md5,36,3,4096,64,4096,64,5,0:00:00.086681,2023-06-03 02:01:57.570977
iozone,/dev/md5,37,1,8192,1,8192,1,5,0:00:00.079312,2023-06-03 02:01:57.650478
iozone,/dev/md5,37,2,8192,1,8192,1,5,0:00:00.087109,2023-06-03 02:01:57.737757
iozone,/dev/md5,37,3,8192,1,8192,1,5,0:00:00.086888,2023-06-03 02:01:57.824827
iozone,/dev/md5,38,1,8192,1,8192,1,5,0:00:00.086918,2023-06-03 02:01:57.911923
iozone,/dev/md5,38,2,8192,1,8192,1,5,0:00:00.087421,2023-06-03 02:01:57.999512
iozone,/dev/md5,38,3,8192,1,8192,1,5,0:00:00.085774,2023-06-03 02:01:58.085456
iozone,/dev/md5,39,1,8192,1,8192,1,5,0:00:00.087299,2023-06-03 02:01:58.172931
